date,balls,powerball
"2020-06-17T14:00:00.000Z","7,14,17,22,24,28,32",1
"2020-06-10T14:00:00.000Z","1,14,17,22,26,28,33",9
"2020-06-03T14:00:00.000Z","1,5,10,12,17,20,27",13
"2020-05-27T14:00:00.000Z","9,10,21,24,25,30,32",19
"2020-05-20T14:00:00.000Z","7,8,9,18,23,30,32",4
"2020-05-13T14:00:00.000Z","3,4,8,22,23,24,31",15
"2020-05-06T14:00:00.000Z","9,12,16,23,26,29,35",10
"2020-04-29T14:00:00.000Z","6,9,17,25,28,32,34",10
"2020-04-22T14:00:00.000Z","3,6,7,14,18,32,35",2
"2020-04-15T14:00:00.000Z","8,12,15,18,19,24,25",18
"2020-04-08T14:00:00.000Z","2,4,12,18,19,27,34",11
"2020-04-01T13:00:00.000Z","1,3,14,17,19,22,26",18
"2020-03-25T13:00:00.000Z","1,12,14,16,21,27,29",7
"2020-03-18T13:00:00.000Z","1,10,11,12,18,20,27",20
"2020-03-11T13:00:00.000Z","10,17,19,20,26,28,33",2
"2020-03-04T13:00:00.000Z","10,16,23,24,27,28,33",12
"2020-02-26T13:00:00.000Z","1,9,16,17,22,24,31",2
"2020-02-19T13:00:00.000Z","1,3,12,13,21,26,31",19
"2020-02-12T13:00:00.000Z","2,5,7,14,25,29,32",3
"2020-02-05T13:00:00.000Z","1,2,3,11,15,26,35",17
"2020-01-29T13:00:00.000Z","5,8,9,17,20,22,35",16
"2020-01-22T13:00:00.000Z","4,5,10,13,23,27,28",4
"2020-01-15T13:00:00.000Z","7,14,16,20,21,25,28",11
"2020-01-08T13:00:00.000Z","3,4,7,9,24,29,31",2
"2020-01-01T13:00:00.000Z","2,3,9,21,25,27,35",4
"2019-12-25T13:00:00.000Z","7,9,12,17,23,26,27",2
"2019-12-18T13:00:00.000Z","4,8,9,10,11,29,32",18
"2019-12-11T13:00:00.000Z","9,11,15,16,18,28,35",9
"2019-12-04T13:00:00.000Z","14,19,20,27,29,30,32",6
"2019-11-27T13:00:00.000Z","4,12,18,20,21,23,30",1
"2019-11-20T13:00:00.000Z","1,2,3,12,13,23,25",1
"2019-11-13T13:00:00.000Z","8,10,20,24,26,28,32",6
"2019-11-06T13:00:00.000Z","3,7,10,12,13,21,33",4
"2019-10-30T13:00:00.000Z","9,10,16,18,22,29,33",8
"2019-10-23T13:00:00.000Z","1,7,11,12,19,24,30",7
"2019-10-16T13:00:00.000Z","2,6,7,9,21,22,25",12
"2019-10-09T13:00:00.000Z","3,6,11,16,27,28,35",10
"2019-10-02T14:00:00.000Z","2,11,15,20,22,25,29",3
"2019-09-25T14:00:00.000Z","9,22,25,26,27,30,33",19
"2019-09-18T14:00:00.000Z","4,5,8,17,18,26,31",9
"2019-09-11T14:00:00.000Z","10,11,20,27,28,30,31",2
"2019-09-04T14:00:00.000Z","2,4,14,16,19,27,29",13
"2019-08-28T14:00:00.000Z","8,9,11,20,22,27,32",20
"2019-08-21T14:00:00.000Z","3,7,10,11,17,26,35",19
"2019-08-14T14:00:00.000Z","7,14,21,24,27,30,35",13
"2019-08-07T14:00:00.000Z","1,5,11,16,17,29,30",8
"2019-07-31T14:00:00.000Z","9,15,22,23,25,30,35",6
"2019-07-24T14:00:00.000Z","1,3,9,11,22,23,24",4
"2019-07-17T14:00:00.000Z","1,6,11,13,16,23,27",11
"2019-07-10T14:00:00.000Z","6,7,8,21,27,28,34",16
"2019-07-03T14:00:00.000Z","2,15,20,21,22,27,28",3
"2019-06-26T14:00:00.000Z","2,7,17,21,27,32,35",7
"2019-06-19T14:00:00.000Z","4,10,14,16,17,19,34",13
"2019-06-12T14:00:00.000Z","1,5,8,11,17,23,25",3
"2019-06-05T14:00:00.000Z","2,7,8,11,31,33,35",20
"2019-05-29T14:00:00.000Z","4,10,14,17,22,31,34",7
"2019-05-22T14:00:00.000Z","6,7,10,16,17,20,30",4
"2019-05-15T14:00:00.000Z","1,11,13,17,24,34,35",19
"2019-05-08T14:00:00.000Z","5,15,17,18,19,26,29",2
"2019-05-01T14:00:00.000Z","2,4,6,8,9,11,33",4
"2019-04-24T14:00:00.000Z","2,5,9,11,23,25,33",6
"2019-04-17T14:00:00.000Z","1,2,4,11,17,21,30",2
"2019-04-10T14:00:00.000Z","8,15,18,19,20,22,32",9
"2019-04-03T13:00:00.000Z","2,12,14,16,21,25,33",4
"2019-03-27T13:00:00.000Z","4,5,25,26,27,30,34",18
"2019-03-20T13:00:00.000Z","3,14,20,27,29,30,31",7
"2019-03-13T13:00:00.000Z","2,5,8,17,20,24,27",6
"2019-03-06T13:00:00.000Z","4,6,9,13,20,23,27",2
"2019-02-27T13:00:00.000Z","2,4,5,7,11,13,14",14
"2019-02-20T13:00:00.000Z","3,4,12,16,21,25,27",8
"2019-02-13T13:00:00.000Z","3,6,10,11,21,23,34",5
"2019-02-06T13:00:00.000Z","6,11,17,20,22,24,32",19
"2019-01-30T13:00:00.000Z","10,19,22,28,29,31,34",10
"2019-01-23T13:00:00.000Z","2,8,17,19,23,29,35",3
"2019-01-16T13:00:00.000Z","4,11,18,20,22,26,33",9
"2019-01-09T13:00:00.000Z","3,7,10,24,28,31,34",14
"2019-01-02T13:00:00.000Z","7,8,11,12,19,25,33",13
"2018-12-26T13:00:00.000Z","5,7,8,9,17,18,29",19
"2018-12-19T13:00:00.000Z","5,9,13,19,20,24,32",15
"2018-12-12T13:00:00.000Z","7,8,15,24,26,28,35",13
"2018-12-05T13:00:00.000Z","3,5,6,14,20,26,33",19
"2018-11-28T13:00:00.000Z","3,5,17,20,22,29,33",12
"2018-11-21T13:00:00.000Z","3,14,17,28,29,33,34",17
"2018-11-14T13:00:00.000Z","2,7,16,18,23,25,29",20
"2018-11-07T13:00:00.000Z","12,15,17,23,29,30,35",10
"2018-10-31T13:00:00.000Z","4,8,11,17,24,30,35",3
"2018-10-24T13:00:00.000Z","9,11,13,25,26,28,29",12
"2018-10-17T13:00:00.000Z","7,10,17,25,29,33,35",5
"2018-10-10T13:00:00.000Z","13,20,21,23,27,30,32",13
"2018-10-03T14:00:00.000Z","3,11,21,22,24,28,32",7
"2018-09-26T14:00:00.000Z","5,10,15,19,21,22,30",3
"2018-09-19T14:00:00.000Z","2,6,8,10,17,20,30",8
"2018-09-12T14:00:00.000Z","1,2,17,19,22,34,35",11
"2018-09-05T14:00:00.000Z","7,14,18,21,23,25,27",20
"2018-08-29T14:00:00.000Z","13,15,19,20,22,28,32",20
"2018-08-22T14:00:00.000Z","2,6,9,14,18,28,29",11
"2018-08-15T14:00:00.000Z","3,13,27,31,32,33,35",3
"2018-08-08T14:00:00.000Z","4,5,10,12,13,18,34",19
"2018-08-01T14:00:00.000Z","1,3,9,17,22,32,34",19
"2018-07-25T14:00:00.000Z","1,7,8,22,28,31,32",15
"2018-07-18T14:00:00.000Z","2,4,22,23,24,25,29",17
"2018-07-11T14:00:00.000Z","4,16,18,23,25,31,32",5
"2018-07-04T14:00:00.000Z","7,20,23,29,32,33,34",16
"2018-06-27T14:00:00.000Z","2,4,7,17,25,28,34",3
"2018-06-20T14:00:00.000Z","2,5,9,13,24,31,35",16
"2018-06-13T14:00:00.000Z","2,6,7,14,16,29,31",15
"2018-06-06T14:00:00.000Z","14,22,23,24,30,32,34",9
"2018-05-30T14:00:00.000Z","8,9,18,27,29,30,32",6
"2018-05-23T14:00:00.000Z","2,12,14,18,19,23,25",17
"2018-05-16T14:00:00.000Z","3,9,16,25,26,31,34",9
"2018-05-09T14:00:00.000Z","6,14,15,24,26,32,35",14
"2018-05-02T14:00:00.000Z","1,3,6,16,19,20,24",13
"2018-04-25T14:00:00.000Z","9,14,15,19,24,34,35",12
"2018-04-18T14:00:00.000Z","4,5,9,13,25,32,33",7
"2018-04-11T14:00:00.000Z","14,16,18,31,32,33",17
"2018-04-04T14:00:00.000Z","5,8,18,22,23,25",10
"2018-03-28T13:00:00.000Z","4,7,8,10,14,16",10
"2018-03-21T13:00:00.000Z","10,17,22,30,35,40",7
"2018-03-14T13:00:00.000Z","1,6,9,18,21,34",15
"2018-03-07T13:00:00.000Z","4,12,22,26,29,37",11
"2018-02-28T13:00:00.000Z","8,16,17,24,30,39",8
"2018-02-21T13:00:00.000Z","11,14,15,16,19,38",8
"2018-02-14T13:00:00.000Z","5,6,12,25,36,37",7
"2018-02-07T13:00:00.000Z","7,10,12,23,33,38",16
"2018-01-31T13:00:00.000Z","20,24,26,27,35,38",3
"2018-01-24T13:00:00.000Z","1,10,13,23,24,40",13
"2018-01-17T13:00:00.000Z","3,8,13,19,35,36",6
"2018-01-10T13:00:00.000Z","5,7,11,32,34,38",12
"2018-01-03T13:00:00.000Z","8,15,19,20,23,24",5
"2017-12-27T13:00:00.000Z","12,28,29,34,35,37",7
"2017-12-20T13:00:00.000Z","7,10,15,27,32,33",9
"2017-12-13T13:00:00.000Z","19,22,28,30,31,40",6
"2017-12-06T13:00:00.000Z","8,11,23,26,34,39",13
"2017-11-29T13:00:00.000Z","21,22,26,31,35,38",10
"2017-11-22T13:00:00.000Z","17,27,33,35,36,39",7
"2017-11-15T13:00:00.000Z","3,6,11,18,33,36",5
"2017-11-08T13:00:00.000Z","15,18,20,27,29,38",20
"2017-11-01T13:00:00.000Z","3,4,23,30,32,33",4
"2017-10-25T13:00:00.000Z","4,15,23,29,34,39",5
"2017-10-18T13:00:00.000Z","8,9,11,17,31,34",16
"2017-10-11T13:00:00.000Z","1,11,15,28,30,32",20
"2017-10-04T13:00:00.000Z","6,7,17,19,33,38",17
"2017-09-27T14:00:00.000Z","1,6,13,14,25,32",7
"2017-09-20T14:00:00.000Z","2,10,17,23,25,26",5
"2017-09-13T14:00:00.000Z","15,25,26,30,31,37",18
"2017-09-06T14:00:00.000Z","3,11,14,24,28,35",3
"2017-08-30T14:00:00.000Z","14,22,25,34,36,38",10
"2017-08-23T14:00:00.000Z","3,6,9,13,30,35",20
"2017-08-16T14:00:00.000Z","4,5,12,26,32,38",6
"2017-08-09T14:00:00.000Z","1,6,8,16,17,20",1
"2017-08-02T14:00:00.000Z","6,9,19,22,30,38",10
"2017-07-26T14:00:00.000Z","4,15,23,27,31,36",16
"2017-07-19T14:00:00.000Z","5,14,15,22,23,25",9
"2017-07-12T14:00:00.000Z","1,9,12,24,28,30",9
"2017-07-05T14:00:00.000Z","10,11,13,19,22,38",20
"2017-06-28T14:00:00.000Z","2,3,5,9,12,19",9
"2017-06-21T14:00:00.000Z","12,17,25,35,36,40",17
"2017-06-14T14:00:00.000Z","6,23,24,28,31,38",12
"2017-06-07T14:00:00.000Z","6,7,10,17,20,25",15
"2017-05-31T14:00:00.000Z","18,19,24,29,32,37",12
"2017-05-24T14:00:00.000Z","4,24,27,32,35,39",13
"2017-05-17T14:00:00.000Z","6,10,17,27,35,39",12
"2017-05-10T14:00:00.000Z","10,19,21,23,26,36",10
"2017-05-03T14:00:00.000Z","4,5,10,15,17,25",2
"2017-04-26T14:00:00.000Z","19,20,24,30,36,38",3
"2017-04-19T14:00:00.000Z","7,13,19,22,27,30",8
"2017-04-12T14:00:00.000Z","1,5,23,26,33,34",10
"2017-04-05T14:00:00.000Z","6,7,17,31,32,34",5
"2017-03-29T13:00:00.000Z","1,5,7,19,28,30",6
"2017-03-22T13:00:00.000Z","5,7,17,31,34,40",18
"2017-03-15T13:00:00.000Z","13,22,27,30,34,40",17
"2017-03-08T13:00:00.000Z","6,9,19,26,27,29",15
"2017-03-01T13:00:00.000Z","9,25,30,34,36,40",11
"2017-02-22T13:00:00.000Z","1,15,16,20,26,29",12
"2017-02-15T13:00:00.000Z","15,22,24,25,26,29",16
"2017-02-08T13:00:00.000Z","11,16,21,23,31,33",2
"2017-02-01T13:00:00.000Z","20,23,28,31,35,40",3
"2017-01-25T13:00:00.000Z","6,8,23,36,38,40",2
"2017-01-18T13:00:00.000Z","10,22,31,32,33,35",19
"2017-01-11T13:00:00.000Z","4,11,14,26,29,36",17
"2017-01-04T13:00:00.000Z","6,8,23,31,36,39",15
"2016-12-28T13:00:00.000Z","3,4,6,24,25,31",13
"2016-12-21T13:00:00.000Z","4,10,16,26,29,39",18
"2016-12-14T13:00:00.000Z","8,13,22,30,36,37",11
"2016-12-07T13:00:00.000Z","3,5,13,20,37,38",14
"2016-11-30T13:00:00.000Z","9,12,23,34,37,38",7
"2016-11-23T13:00:00.000Z","5,12,13,18,25,40",5
"2016-11-16T13:00:00.000Z","4,10,16,24,34,40",11
"2016-11-09T13:00:00.000Z","7,19,23,26,30,37",5
"2016-11-02T13:00:00.000Z","8,22,23,26,35,40",6
"2016-10-26T13:00:00.000Z","2,16,17,21,36,38",7
"2016-10-19T13:00:00.000Z","5,8,12,22,25,34",17
